"1st Test. 79.6: R Ashwin to S O'Keefe (0), 4 runs, 264/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 11.2: R Jadeja to S Smith (4), 4 runs, 54/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 37.5: J Hazlewood to C Pujara (10), 4 runs, 115/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 16.3: J Hazlewood to C Pujara (9), 4 runs, 43/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 38.6: I Sharma to S Smith (48), 4 runs, 129/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 207.4: P Cummins to U Yadav (15), 4 runs, 594/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 14.3: S O'Keefe to V Kohli (11), 4 runs, 41/2 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 5.5: U Yadav to M Renshaw (20), 4 runs, 31/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"At Tea on Day 2 of the 2nd @Paytm Test, Australia are 163/5, trail India (189) by 26 runs #INDvAUS https://t.co/55mxfKxtmX"
Innings break! Australia all out for 451. #INDvAUS https://t.co/2eIEJqj6kM
"3rd Test. 60.4: I Sharma to S Smith (84), 4 runs, 198/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 44.6: U Yadav to S Smith (58), 4 runs, 151/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"65.3: WICKET! W Saha (1) is out, c Steve Smith b Nathan Lyon, 178/7 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
How's that for a 'hotel reception' #TeamIndia #INDvAUS https://t.co/CSg2fZ96Zm
Some early morning broom for the pitch before the start of Day 4 #INDvAUS @Paytm Test cricket https://t.co/mZs06gqLut
"2nd Test. 38.5: J Hazlewood to L Rahul (59), 4 runs, 98/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
50! A quality half-century from @klrahul11. His fourth in this series so far. #INDvAUS https://t.co/mhWOOf64Bz
"3rd Test. 32.3: N Lyon to M Vijay (31), 4 runs, 101/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 7.4: P Cummins to L Rahul (17), 4 runs, 19/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Welcome to our live coverage of the 2nd Test between India and Australia https://t.co/Qj8RbwMTOS #IndvAus @Paytm
"2nd Test. 101.3: K Nair to M Starc (6), 4 runs, 227/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Lunch on Day 2 of the 2nd Test, Australia 87/2 (Renshaw 40*), trail India (189) by 102 runs #INDvAUS https://t.co/2rAacMz1Mb"
"3rd Test. 85.6: J Hazlewood to A Rahane (10), 4 runs, 254/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Holding on to them nice and easy. An intense catching drill before the players hit the nets #TeamIndia #INDvAUS https://t.co/FoC9kf8z3V
"69.2: WICKET! R Jadeja (3) is out, c Steve Smith b Nathan Lyon, 188/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @MishiAmit: Congratulations guys. Well done team India So proud of you all 👍 💪💪💪💪
"2nd Test. 22.6: U Yadav to M Marsh (5), 4 runs, 84/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @imVkohli: Happy Holi everybody. Have a great day today 🙏🏼😇. Please make sure no harm is done to the animals on the streets. God Bless a…
And...we are off! Ranchi are you ready? #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/33HSprZA1K
"3rd Test. 90.6: U Yadav to G Maxwell (86), 4 runs, 303/4 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"24.2: WICKET! L Rahul (51) is out, c Steve Smith b Steve O'Keefe, 83/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
A beautiful sunset followed by an enjoyable Trek. A look at the team's fun activities - Video up on… https://t.co/FoLxpufxSw
First one to enter the nets. @ajinkyarahane88 at it early #INDvAUS #TeamIndia @Paytm Test cricket https://t.co/KVdmztuqO9
"2nd Test. 107.4: R Ashwin to M Starc (14), 4 runs, 241/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 6.2: R Ashwin to M Renshaw (7), 4 runs, 23/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 0.6: R Ashwin to D Warner (8), 4 runs, 8/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 32.3: U Yadav to M Renshaw (24), 4 runs, 66/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 28.3: U Yadav to S Smith (31), 4 runs, 105/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 5.3: WICKET! L Rahul (10) is out, lbw Nathan Lyon, 16/2 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
DRS - Dressing room review system? Smith tries to get some suggestions from the dressing room for a review https://t.co/2V488WaKEp #INDvAUS
"2nd Test. 24.6: I Sharma to M Marsh (13), 4 runs, 98/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 10.3: U Yadav to S Smith (16), 4 runs, 50/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Here's wishing everyone a very #HappyHoli https://t.co/xXchVrKqaH
Jai Hind #TeamIndia #INDvAUS 😀 https://t.co/fNjxERrqQV
"3rd Test. 56.6: R Ashwin to P Handscomb (29), 4 runs, 131/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 82.5: M Vijay to S Smith (103), 4 runs, 272/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 28.5: I Sharma to S Marsh (4), 4 runs, 63/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
#BCCIawards - Captain @imVkohli has been awarded the Polly Umrigar Award for the 3rd time #NAMAN https://t.co/01lai5p1AY
RT @anilkumble1074: Winning moments of a stellar comeback! Let’s keep the momentum going in the coming games. #IndvAus @BCCI https://t.co/y…
VIDEO: The men who work behind the scenes - Batting coach @ImSanjayBangar and training assistant Raghu #INDvAUS https://t.co/60R1nbNFex
"135.6: WICKET! N Lyon (1) is out, c Karun Nair b Ravindra Jadeja, 449/9 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 40.2: U Yadav to P Handscomb (17), 4 runs, 136/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 79.6: WICKET! M Marsh (0) is out, lbw Ishant Sharma, 163/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @coach_rsridhar: This is the scene as we drive from the airport to the ground! Snow clad Dhauladhar range!! #IndvAus @BCCI #travelday ht…
RT @MdShami11: Well done boys congratulation👏👏👏👏👍
"2nd Test. 86.6: M Starc to W Saha (8), 4 runs, 256/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
1st Test. It's all over! Australia won by 333 runs https://t.co/Px6Gu2Qz1R #IndvAus @Paytm
"47.3: WICKET! A Rahane (17) is out, st Matthew Wade b Nathan Lyon, 118/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @sachin_rt: Chak de India!! #INDvAUS https://t.co/XjIyzVKvEh
"1st Test. 31.4: WICKET! R Jadeja (3) is out, b Nathan Lyon, 102/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"That's Stumps on Day 4. Australia are (451 &amp; 23/2), trail India 603/9d by 129 runs #INDvAUS https://t.co/ta7izqfrqX"
"2nd Test. 30.6: M Starc to V Kohli (6), 4 runs, 79/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
BCCI announces @oppo as the new Team sponsor. The partnership with Indian Cricket will start from Apr 2017 for a period of five years #OPPO
Rise and shine Bengaluru! #INDvAUS #TeamIndia https://t.co/hTD7iqJgB2
Match Drawn!! #INDvAUS https://t.co/LZkjdIfKpU
"2nd Test. 102.4: U Yadav to M Starc (11), 4 runs, 232/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
VIDEO: Farokh Engineer delivers the 5th MAK Pataudi Memorial Lecture https://t.co/8uDJOA6K3x #NAMAN #BCCIawards
"IN WHITES, UP NEXT ! #INDvAUS https://t.co/zBVkILnZzY"
"3rd Test. 2.5: I Sharma to M Renshaw (8), 4 runs, 10/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 9.4: WICKET! D Warner (19) is out, c &amp; b Ravindra Jadeja, 50/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 14.4: S O'Keefe to L Rahul (35), 4 runs, 42/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 127.4: R Jadeja to S O'Keefe (18), 4 runs, 431/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 61.1: R Ashwin to P Handscomb (37), 5 runs, 139/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 22.3: U Yadav to P Handscomb (9), 4 runs, 79/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"4.3: WICKET! M Renshaw (5) is out, c Wriddhiman Saha b Ishant Sharma, 22/1"
"3rd Test. 41.5: S O'Keefe to M Vijay (48), 6 runs, 128/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
At work - captain @imVkohli #TeamIndia #INDvAUS https://t.co/77YosOB30H
"2nd Test. 2.5: WICKET! A Mukund (0) is out, lbw Mitchell Starc, 11/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 32.2: N Lyon to M Vijay (27), 4 runs, 97/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Day 3 ☁️ #INDvAUS @Paytm Test Cricket #TeamIndia https://t.co/OdvJskspq7
"2nd Test. 91.1: N Lyon to I Sharma (4), 4 runs, 266/9 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 82.1: R Jadeja to S Marsh (43), 4 runs, 169/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 9.3: R Jadeja to D Warner (19), 4 runs, 50/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 23.5: N Lyon to L Rahul (42), 4 runs, 63/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
199 runs &amp; 317 minutes later. The partnership continues on and off the field @Wriddhipops &amp; @cheteshwar1 #TeamIndia… https://t.co/Jd4d7LGGlM
"1st Test. 20.2: S O'Keefe to A Rahane (10), 4 runs, 63/3 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 209.2: P Cummins to R Jadeja (50), 4 runs, 599/9 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"'It's important to accept defeat and learn from your mistakes,' @imVkohli ahead of the 2nd Test against Australia… https://t.co/piIxnuxZxJ"
"3rd Test. 107.2: R Jadeja to M Wade (11), 4 runs, 363/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"Innings Break! Australia all out for 285, lead India (105) by 440 runs. Follow the game here -… https://t.co/kN59vC5uFX"
"2nd Test. 13.2: R Ashwin to S Smith (24), 4 runs, 63/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 24.5: I Sharma to S Smith (20), 4 runs, 54/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 192.5: S O'Keefe to W Saha (111), 4 runs, 525/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 91.3: I Sharma to S Smith (121), 4 runs, 307/4 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"87.3: WICKET! U Yadav (1) is out, c David Warner b Josh Hazlewood, 256/9 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"Despite the loss of one eye, he was still a world class player - Engineer on MAK Pataudi #Naman https://t.co/eGZrodOT2K"
2nd Test. India win the toss and elect to bat https://t.co/Qj8RbwMTOS #IndvAus @Paytm
"2nd Test. 66.1: R Jadeja to M Renshaw (60), 6 runs, 134/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 96.2: S O'Keefe to K Nair (10), 4 runs, 297/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 207.2: P Cummins to U Yadav (11), 4 runs, 590/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"At Tea on Day 5, Australia are (451 &amp; 149/4), trail India (603/9d) by 3 runs #INDvAUS https://t.co/kvFhbQ3liY"
Some pre-start talk between @RaviShastriOfc and @imVkohli #INDvAUS https://t.co/mTrTFQX4KC
"2nd Test. 3.3: J Hazlewood to L Rahul (15), 4 runs, 15/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 131.2: P Cummins to W Saha (23), 4 runs, 366/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"Lunch on Day 5, Australia are (451 &amp; 83/4) trail India (603/9d) by 69 runs #INDvAUS https://t.co/gDFEZqZZ5X"
"3rd Test. 74.6: S O'Keefe to C Pujara (52), 4 runs, 206/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
VIDEO: @ashwinravi99 receives the Dilip Sardesai Award https://t.co/5nyh0cJbrm #NAMAN #BCCIawards
"At Tea on Day 1 of the 3rd @Paytm Test, Australia are 194/4 (Smith 80*, Maxwell 19*) #INDvAUS https://t.co/1w9lH9jDru"
"3rd Test. 90.4: S O'Keefe to C Pujara (95), 4 runs, 272/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 0.3: I Sharma to M Renshaw (4), 4 runs, 6/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 173.2: J Hazlewood to C Pujara (181), 4 runs, 471/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 44.6: S O'Keefe to A Rahane (15), 4 runs, 113/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 84.5: N Lyon to A Rahane (5), 4 runs, 245/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 80.1: R Jadeja to N Lyon (6), 4 runs, 268/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"2nd Test. 12.6: J Hazlewood to L Rahul (25), 4 runs, 28/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 28.3: WICKET! W Saha (5) is out, lbw Steve O'Keefe, 99/6 https://t.co/Px6Gu389Tp #IndvAus @Paytm"
Captain returns. Game on! #INDvAUS #TeamIndia @Paytm Test cricket https://t.co/rVvAXK9Hnt
"3rd Test. 51.2: S O'Keefe to C Pujara (19), 4 runs, 137/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"31.6: WICKET! I Sharma (0) is out, c David Warner b Nathan Lyon, 102/9 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
NEWS: @imjadeja joins Ashwin as No. 1 Test bowler https://t.co/40R0B7RoGF #TeamIndia https://t.co/WL3fbKurQ7
"91.2: WICKET! A Rahane (14) is out, c Matthew Wade b Pat Cummins, 276/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 90.6: M Starc to W Saha (14), 4 runs, 262/9 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 63.1: R Jadeja to G Maxwell (27), 4 runs, 206/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
2nd Test. It's all over! India won by 75 runs https://t.co/Qj8RbwMTOS #IndvAus @Paytm
"94.4: WICKET! G Maxwell (2) is out, c Murali Vijay b Ravichandran Ashwin, 190/6"
"A gritty half-century from @ajinkyarahane88, his 11th in Test cricket #INDvAUS https://t.co/h0UGunsX06"
"2nd Test. 0.6: M Starc to L Rahul (10), 4 runs, 10/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Stumps on Day 1 of the 3rd @Paytm Test, Australia are 299/4 (Smith 117*, Maxwell 82*) #INDvAUS https://t.co/gYhuHGx265"
"3rd Test. 122.2: R Ashwin to S O'Keefe (6), 4 runs, 410/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
We will be back on the 25th for the fourth and final Test of the #INDvAUS series...Stay tuned! https://t.co/2kO9sQs4j2
High fives all around. India win the 2nd @Paytm Test by 75 runs. Level the 4-match Test series 1-1 #INDvAUS https://t.co/XDEmS7L8fN
"122.4: WICKET! J Hazlewood (1) is out, c Lokesh Rahul b Ravindra Jadeja, 276 all out"
"3rd Test. 68.5: S O'Keefe to M Vijay (82), 4 runs, 185/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"41.2: WICKET! S Smith (8) is out, c Wriddhiman Saha b Ravindra Jadeja, 82/2"
"196.1: WICKET! W Saha (117) is out, c Glenn Maxwell b Steve O'Keefe, 541/8"
"2nd Test. 85.1: J Hazlewood to C Pujara (92), 4 runs, 242/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 6.6: M Starc to A Mukund (15), 6 runs, 33/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"77.6: WICKET! M Starc (30) is out, c Lokesh Rahul b Ravichandran Ashwin, 258/8"
"2nd Test. 33.2: N Lyon to V Kohli (12), 4 runs, 88/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 57.3: S O'Keefe to R Ashwin (0), 4 runs, 160/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 85.4: J Hazlewood to R Ashwin (4), 4 runs, 246/7 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"61.5: WICKET! R Ashwin (7) is out, c David Warner b Nathan Lyon, 174/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @imVkohli: Special day this. We are a team. We win together we lose together. Proud of you boys. Jai Hind 🇮🇳 https://t.co/nhmeI8YTvq
RT @ashwinravi99: This mans 6 runs set us up today!Bowled his heart out too..Well done Ishy https://t.co/RSiUX0Ayft
"3rd Test. 0.6: I Sharma to M Renshaw (4), 4 runs, 4/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"'I'm on cloud nine since women’s cricket has now been put on a pedestal,' Shantha Rangaswamy to @PrajPP #BCCIawards… https://t.co/zrSog7Easm"
"3rd Test. 112.4: R Ashwin to M Wade (30), 4 runs, 386/5 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 89.1: P Cummins to A Rahane (13), 4 runs, 266/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 78.1: M Vijay to G Maxwell (61), 4 runs, 253/4 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"2nd Test. 34.2: WICKET! V Kohli (15) is out, lbw Josh Hazlewood, 112/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
